ID,RX_Max,RY_Max,RZ_Max,LX_Max,LY_Max,LZ_Max,Region,Strain,Severity
1,2000,0,0,0,0,0,1,0.15,0
2,4000,0,0,0,0,0,1,0.16,20
3,6000,0,0,0,0,0,1,0.17,40
4,8000,0,0,0,0,0,1,0.18,60
5,10000,0,0,0,0,0,1,0.19,80
6,12000,0,0,0,0,0,1,0.21,100
7,5000,2000,0,0,0,0,2,0.17,40
8,4000,3000,0,0,0,0,3,0.17,40
9,3000,3000,0,0,0,0,4,0.17,40
10,2000,5000,0,0,0,0,5,0.17,40
11,1000,5500,0,0,0,0,6,0.17,40
12,0,6000,0,0,0,0,7,0.17,40
13,0,5500,1000,0,0,0,8,0.17,40
14,0,5000,2000,0,0,0,9,0.17,40
15,0,4000,3000,0,0,0,10,0.17,40
16,0,3000,4000,0,0,0,11,0.17,40
17,0,2000,5000,0,0,0,12,0.17,40
18,0,1000,5500,0,0,0,13,0.17,40
19,0,0,6000,0,0,0,14,0.17,40
